# id	canonical	group	cie10_pipe	aliases_pipe
labio_paladar_hendido	Labio y paladar hendido	defectos_nacer	Q35-Q37	Labio y paladar hendido
microcefalia	Microcefalia	defectos_nacer	Q02	Microcefalia

# Reglas añadidas para evitar auto-clasificación truncada en boletines históricos CDMX.
colera	Cólera	digestivas	A00	Cólera|Colera
desnutricion_severa	Desnutrición severa	nutricion	E40-E43	Desnutrición severa|Desnutricion severa
rubeola	Rubéola	prevenibles_vacunacion	B06	Rubéola|Rubeola
sindrome_rubeola_congenita	Síndrome de rubéola congénita	prevenibles_vacunacion	P35.0	Síndrome de rubéola congénita|Sindrome de rubeola congenita
tetanos	Tétanos	prevenibles_vacunacion	A34|A35	Tétanos|Tetanos
tetanos_neonatal	Tétanos neonatal	prevenibles_vacunacion	A33	Tétanos neonatal|Tetanos neonatal
lepra	Lepra	otras_enfermedades_transmisibles	A30	Lepra
tracoma	Tracoma	otras_enfermedades_transmisibles	A71	Tracoma
leishmaniasis	Leishmaniasis	vectores	B55	Leishmaniasis
leishmaniasis_cutanea	Leishmaniasis cutánea	vectores	B55.1	Leishmaniasis cutánea|Leishmaniasis Cutanea
leishmaniasis_visceral	Leishmaniasis visceral	vectores	B55.0	Leishmaniasis visceral
oncocercosis	Oncocercosis	vectores	B73	Oncocercosis
contacto_avispas_abejas	Contacto traumático con avispas, avispones y abejas	accidentes	X23	Contacto traumático con avispas, avispones y abejas|Contacto Traumático con Avispas Avispones y Abejas|Contacto traumático con avispas,.|Avispas avispones y abejas
displasia_cervical_leve_moderada	Displasia cervical leve y moderada	no_transmisibles	N87.0-N87.1	Displasia cervical leve y moderada
tumor_maligno_mama	Tumor maligno de mama	no_transmisibles	C50	Tumor maligno de mama|y Tumor maligno de mama
peaton_lesionado_accidente_transporte	Peatón lesionado en accidente de transporte	accidentes	V01-V09|Y07.0-Y07.2	Peatón lesionado en accidente de transporte|Peaton lesionado en accidente de transporte
